,0,1,2,3
largeGathering,0.0,0.0,0.0,0.0
dorm,31.0,32.0,37.0,16.0
classroom,11.0,11.0,17.0,7.0
dining,9.0,9.0,9.0,5.0
library,0.0,0.0,0.0,0.0
gym,0.0,0.0,0.0,0.0
social,28.0,22.0,38.0,13.0
transit,0.0,0.0,0.0,0.0
offCampus,5.0,5.0,8.0,9.0
office,0.0,0.0,3.0,0.0
total,89.0,84.0,117.0,55.0
max,18.0,16.0,20.0,11.0
