,0,1,2,3
largeGathering,0.0,0.0,0.0,0.0
dorm,8.0,8.0,13.0,16.0
classroom,6.0,2.0,5.0,13.0
dining,3.0,1.0,1.0,6.0
library,0.0,0.0,0.0,0.0
gym,0.0,0.0,0.0,0.0
social,4.0,4.0,6.0,5.0
transit,0.0,0.0,0.0,0.0
offCampus,7.0,2.0,3.0,8.0
office,0.0,0.0,0.0,0.0
total,33.0,22.0,33.0,53.0
max,10.0,10.0,15.0,13.0
