,0,1,2,3
largeGathering,177.0,139.0,145.0,151.0
dorm,457.0,399.0,467.0,446.0
classroom,399.0,470.0,390.0,432.0
dining,164.0,215.0,196.0,161.0
library,229.0,357.0,225.0,244.0
gym,127.0,115.0,92.0,78.0
social,433.0,441.0,405.0,409.0
transit,3.0,1.0,2.0,1.0
offCampus,3.0,2.0,7.0,7.0
office,12.0,20.0,9.0,4.0
total,2009.0,2164.0,1943.0,1938.0
max,825.0,1085.0,593.0,712.0
