,0,1,2,3
largeGathering,107.0,103.0,96.0,129.0
dorm,387.0,369.0,359.0,388.0
classroom,526.0,529.0,539.0,474.0
dining,272.0,391.0,274.0,323.0
library,368.0,331.0,376.0,352.0
gym,83.0,91.0,106.0,71.0
social,541.0,466.0,543.0,545.0
transit,1.0,0.0,1.0,1.0
offCampus,2.0,4.0,2.0,3.0
office,60.0,75.0,72.0,80.0
total,2357.0,2369.0,2378.0,2376.0
max,1265.0,1392.0,1553.0,1453.0
