,0,1,2,3
largeGathering,27.0,17.0,37.0,24.0
dorm,116.0,107.0,151.0,76.0
classroom,44.0,39.0,44.0,21.0
dining,38.0,35.0,67.0,25.0
library,5.0,9.0,5.0,4.0
gym,15.0,25.0,32.0,17.0
social,88.0,73.0,85.0,49.0
transit,0.0,1.0,0.0,0.0
offCampus,7.0,6.0,12.0,7.0
office,0.0,0.0,0.0,0.0
total,350.0,322.0,443.0,233.0
max,65.0,61.0,92.0,47.0
