,0,1,2,3
largeGathering,12.0,7.0,11.0,15.0
dorm,113.0,146.0,134.0,174.0
classroom,38.0,66.0,58.0,55.0
dining,11.0,19.0,17.0,16.0
library,13.0,15.0,7.0,23.0
gym,31.0,22.0,25.0,36.0
social,91.0,136.0,124.0,146.0
transit,0.0,0.0,0.0,0.0
offCampus,8.0,10.0,8.0,9.0
office,5.0,0.0,1.0,0.0
total,327.0,426.0,390.0,479.0
max,38.0,40.0,36.0,45.0
