,0,1,2,3
largeGathering,0.0,0.0,0.0,0.0
dorm,3.0,4.0,19.0,9.0
classroom,2.0,7.0,7.0,7.0
dining,0.0,0.0,0.0,0.0
library,0.0,0.0,0.0,0.0
gym,0.0,0.0,0.0,0.0
social,3.0,2.0,30.0,22.0
transit,0.0,0.0,0.0,0.0
offCampus,2.0,5.0,4.0,1.0
office,0.0,0.0,1.0,3.0
total,17.0,25.0,68.0,49.0
max,12.0,10.0,13.0,11.0
