,0,1,2,3
largeGathering,0.0,2.0,1.0,5.0
dorm,6.0,23.0,45.0,59.0
classroom,4.0,11.0,24.0,17.0
dining,1.0,2.0,7.0,17.0
library,0.0,0.0,0.0,0.0
gym,0.0,0.0,0.0,0.0
social,8.0,17.0,38.0,62.0
transit,0.0,0.0,0.0,0.0
offCampus,10.0,13.0,12.0,10.0
office,0.0,0.0,1.0,0.0
total,34.0,73.0,133.0,175.0
max,8.0,11.0,17.0,21.0
