,0,1,2,3
largeGathering,0.0,0.0,0.0,0.0
dorm,27.0,17.0,30.0,20.0
classroom,175.0,194.0,190.0,163.0
dining,97.0,105.0,87.0,102.0
library,97.0,128.0,111.0,94.0
gym,55.0,60.0,63.0,65.0
social,579.0,527.0,546.0,577.0
transit,1.0,0.0,1.0,1.0
offCampus,1.0,0.0,0.0,0.0
office,2.0,5.0,14.0,4.0
total,1039.0,1041.0,1047.0,1031.0
max,256.0,284.0,334.0,246.0
