,0,1,2
largeGathering,8.0,5.0,4.0
dorm,56.0,35.0,45.0
classroom,27.0,11.0,15.0
dining,8.0,11.0,11.0
library,0.0,0.0,0.0
gym,0.0,0.0,0.0
social,52.0,20.0,41.0
transit,0.0,0.0,0.0
offCampus,6.0,9.0,4.0
office,0.0,0.0,0.0
total,167.0,101.0,130.0
max,29.0,24.0,20.0
