,0,1,2
largeGathering,0.0,0.0,0.0
dorm,4.0,4.0,2.0
classroom,4.0,1.0,4.0
dining,0.0,0.0,0.0
library,0.0,0.0,0.0
gym,0.0,0.0,0.0
social,3.0,1.0,2.0
transit,0.0,0.0,0.0
offCampus,6.0,2.0,4.0
office,0.0,5.0,0.0
total,24.0,20.0,19.0
max,8.0,11.0,8.0
