,0,1,2
largeGathering,34.0,64.0,49.0
dorm,318.0,365.0,260.0
classroom,113.0,149.0,103.0
dining,36.0,57.0,27.0
library,38.0,58.0,44.0
gym,65.0,88.0,48.0
social,335.0,351.0,244.0
transit,0.0,1.0,0.0
offCampus,11.0,5.0,8.0
office,2.0,1.0,0.0
total,962.0,1149.0,793.0
max,127.0,135.0,105.0
