,0,1,2
largeGathering,0.0,0.0,0.0
dorm,12.0,30.0,41.0
classroom,1.0,14.0,19.0
dining,2.0,5.0,9.0
library,0.0,0.0,0.0
gym,0.0,0.0,0.0
social,8.0,26.0,40.0
transit,0.0,0.0,0.0
offCampus,7.0,9.0,9.0
office,2.0,0.0,1.0
total,42.0,94.0,129.0
max,22.0,15.0,21.0
