,0,1,2
largeGathering,0.0,0.0,0.0
dorm,32.0,11.0,22.0
classroom,6.0,6.0,9.0
dining,9.0,4.0,8.0
library,0.0,0.0,0.0
gym,0.0,0.0,0.0
social,15.0,4.0,13.0
transit,0.0,0.0,0.0
offCampus,6.0,5.0,6.0
office,0.0,1.0,0.0
total,78.0,41.0,68.0
max,18.0,15.0,17.0
