,0,1,2
largeGathering,0.0,0.0,0.0
dorm,17.0,15.0,0.0
classroom,93.0,82.0,2.0
dining,21.0,20.0,1.0
library,30.0,16.0,0.0
gym,42.0,27.0,0.0
social,293.0,200.0,3.0
transit,0.0,0.0,0.0
offCampus,0.0,1.0,1.0
office,2.0,0.0,1.0
total,503.0,366.0,13.0
max,72.0,47.0,8.0
