,0,1,2
largeGathering,52.0,37.0,65.0
dorm,285.0,265.0,243.0
classroom,109.0,98.0,115.0
dining,46.0,37.0,40.0
library,48.0,47.0,33.0
gym,85.0,78.0,42.0
social,222.0,197.0,158.0
transit,0.0,0.0,0.0
offCampus,5.0,11.0,7.0
office,1.0,0.0,2.0
total,863.0,780.0,715.0
max,104.0,124.0,99.0
