,0,1,2
largeGathering,0.0,0.0,0.0
dorm,11.0,5.0,5.0
classroom,8.0,1.0,0.0
dining,0.0,1.0,0.0
library,0.0,0.0,0.0
gym,0.0,0.0,0.0
social,31.0,1.0,9.0
transit,0.0,0.0,0.0
offCampus,6.0,5.0,5.0
office,0.0,2.0,2.0
total,63.0,22.0,28.0
max,10.0,14.0,12.0
