,0,1,2,3,4
largeGathering,175.0,157.0,147.0,144.0,158.0
dorm,435.0,380.0,436.0,423.0,428.0
classroom,427.0,427.0,363.0,460.0,436.0
dining,147.0,299.0,209.0,163.0,195.0
library,255.0,352.0,269.0,279.0,226.0
gym,137.0,128.0,110.0,85.0,127.0
social,399.0,423.0,447.0,495.0,430.0
transit,1.0,1.0,0.0,3.0,0.0
offCampus,4.0,4.0,5.0,5.0,3.0
office,13.0,13.0,23.0,7.0,14.0
total,1998.0,2189.0,2014.0,2069.0,2022.0
max,744.0,1139.0,854.0,949.0,841.0
