,0,1,2,3,4
largeGathering,32.0,5.0,17.0,11.0,17.0
dorm,181.0,135.0,174.0,90.0,120.0
classroom,71.0,52.0,64.0,39.0,54.0
dining,22.0,17.0,17.0,12.0,11.0
library,16.0,19.0,25.0,13.0,10.0
gym,28.0,30.0,34.0,13.0,17.0
social,173.0,112.0,144.0,76.0,115.0
transit,0.0,0.0,0.0,0.0,0.0
offCampus,4.0,6.0,6.0,11.0,7.0
office,2.0,0.0,0.0,1.0,0.0
total,534.0,380.0,486.0,271.0,356.0
max,55.0,43.0,48.0,31.0,35.0
