,0,1,2,3,4
largeGathering,25.0,33.0,13.0,27.0,37.0
dorm,123.0,125.0,113.0,99.0,114.0
classroom,35.0,46.0,28.0,32.0,33.0
dining,32.0,37.0,45.0,44.0,26.0
library,10.0,4.0,6.0,4.0,9.0
gym,25.0,20.0,18.0,15.0,21.0
social,67.0,69.0,64.0,60.0,77.0
transit,0.0,0.0,0.0,0.0,0.0
offCampus,1.0,8.0,8.0,10.0,9.0
office,0.0,1.0,1.0,0.0,0.0
total,328.0,353.0,306.0,301.0,336.0
max,74.0,72.0,62.0,70.0,64.0
